 2023-05-24 (12-29-44)_
Voltage	Current
V	A
0.0000E+0	-7.9746E-7
1.0000E-2	-7.9362E-7
2.0000E-2	-7.8553E-7
3.0000E-2	-7.7623E-7
4.0000E-2	-7.7240E-7
5.0000E-2	-7.6123E-7
6.0000E-2	-7.5150E-7
7.0000E-2	-7.4345E-7
8.0000E-2	-7.3423E-7
9.0000E-2	-7.2461E-7
1.0000E-1	-7.1769E-7
1.1000E-1	-7.0944E-7
1.2000E-1	-6.9451E-7
1.3000E-1	-6.9052E-7
1.4000E-1	-6.7542E-7
1.5000E-1	-6.6500E-7
1.6000E-1	-6.5183E-7
1.7000E-1	-6.3954E-7
1.8000E-1	-6.2300E-7
1.9000E-1	-6.0582E-7
2.0000E-1	-5.8819E-7
2.1000E-1	-5.6632E-7
2.2000E-1	-5.3993E-7
2.3000E-1	-5.1087E-7
2.4000E-1	-4.7366E-7
2.5000E-1	-4.3005E-7
2.6000E-1	-3.5318E-7
2.7000E-1	-2.8081E-7
2.8000E-1	-1.8270E-7
2.9000E-1	-6.2456E-8
3.0000E-1	8.7336E-8
3.1000E-1	2.7478E-7
3.2000E-1	5.0083E-7
3.3000E-1	8.0000E-10
